iter	Passed	Remaining
0	168	25087
1	190	14102
2	207	10172
3	218	7992
4	225	6550
5	232	5578
6	239	4890
7	246	4371
8	253	3969
9	259	3638
10	266	3369
11	273	3147
12	280	2957
13	288	2799
14	294	2650
15	301	2526
16	309	2417
17	317	2326
18	325	2245
19	336	2188
20	347	2136
21	359	2093
22	370	2047
23	382	2005
24	393	1965
25	402	1920
26	413	1885
27	425	1853
28	436	1820
29	444	1779
30	454	1746
31	463	1707
32	472	1676
33	480	1639
34	488	1605
35	496	1572
36	504	1540
37	512	1511
38	521	1485
39	533	1467
40	545	1450
41	558	1435
42	569	1417
43	580	1399
44	593	1383
45	607	1374
46	622	1363
47	633	1345
48	642	1324
49	652	1305
50	661	1283
51	669	1261
52	677	1240
53	685	1219
54	694	1199
55	703	1181
56	715	1167
57	727	1153
58	740	1142
59	755	1133
60	768	1121
61	782	1110
62	795	1098
63	803	1080
64	814	1064
65	824	1049
66	833	1032
67	842	1016
68	851	999
69	860	983
70	869	966
71	877	950
72	886	935
73	897	921
74	908	908
75	921	896
76	933	884
77	946	873
78	958	861
79	969	848
80	981	836
81	992	822
82	1002	808
83	1010	794
84	1019	779
85	1028	765
86	1036	750
87	1045	736
88	1053	722
89	1062	708
90	1071	694
91	1082	682
92	1096	671
93	1109	660
94	1122	649
95	1134	638
96	1146	626
97	1158	614
98	1173	604
99	1183	591
100	1192	578
101	1202	565
102	1211	552
103	1221	540
104	1230	527
105	1240	514
106	1249	501
107	1258	489
108	1269	477
109	1281	465
110	1293	454
111	1307	443
112	1321	432
113	1334	421
114	1347	410
115	1360	398
116	1369	386
117	1379	374
118	1388	361
119	1397	349
120	1406	337
121	1415	324
122	1424	312
123	1433	300
124	1443	288
125	1454	277
126	1467	265
127	1480	254
128	1494	243
129	1506	231
130	1518	220
131	1531	208
132	1543	197
133	1556	185
134	1567	174
135	1577	162
136	1587	150
137	1597	138
138	1606	127
139	1615	115
140	1624	103
141	1635	92
142	1647	80
143	1661	69
144	1674	57
145	1688	46
146	1700	34
147	1712	23
148	1724	11
149	1735	0
